author,dates,title,views
ㄹㄹ,2022-01-14 14:30:03,역사가 말한다 ,47
하라구구,2022-01-14 14:29:47,실북갤 강형욱 인간혐오 보면,58
ㅇㅇ,2022-01-14 14:28:58,연어 기억하는 게이 있냐 ㅋㅋㅋㅋ,101
ㅇㅇ,2022-01-14 14:28:30,"""미국 주식·채권·부동산 다 비싸…거품 가라앉는 순간 올 것""",192
ㅇㅇ,2022-01-14 14:28:04,좆슬라 뒤져서 기분 좋노 ,91
ㅇㅇ,2022-01-14 14:28:04,비트코인 중동머니 입갤징후 포착,38
ㅇㅇ,2022-01-14 14:28:02,"● 마 2.5 가 조스로 보이냐,  오늘  마 2.5다 =총 아사다마오",24
ㅇㅇ,2022-01-14 14:27:23,컄ㅋㅋㅋ,9
ㅇㅇ,2022-01-14 14:27:16,슨피가 떡락해야 바닥이고 곧 온다,61
ㅇㅇ,2022-01-14 14:26:55,"ㄹㅇ 미국, 마소, 애플 이 셋 못믿으면 우체국 적금이나 넣어야지 ㅋㅋㅋ",81
ㅇㅇ,2022-01-14 14:26:53,시장예측을 도대체 왜하는거지 병신들은 ㅋㅋㅋㅋㅋㅋㅋ,379
ㅇ,2022-01-14 14:26:40,디즈니 사라 올것이 왔다,36
ㅇㅇ,2022-01-14 14:26:27,2022년 예언한다 박제해라 ,34
ㅇㅇ,2022-01-14 14:26:05,실적시즌이다 개소리말고 주워라,73
ㅇㅇ,2022-01-14 14:25:37,주식 본다고 밤새는거 안힘드냐?? 나 죽을거같다,32
사용자이름,2022-01-14 14:25:27,티큐 30 오냐?,16
ㅇ,2022-01-14 14:24:58,도지코인 가지고 왜또 지랄이냐,38
ㅇㅇ,2022-01-14 14:24:46,학식이인데 나는 코로나 때문에 떨어진 주식삼,109
ㅇㅇ,2022-01-14 14:13:03,주린이 질문있다 형들,14
마시마로향기,2022-01-14 13:07:34,테슬라 샵 도지코인으로 구매시작,154
ㅇㅇ,2022-01-14 14:41:59,연어 이거다,50
국경은다조작,2022-01-14 14:41:51,여자는 아프리카방송같은거 안하면 인생좆망임,64
ㅇㅇ,2022-01-14 13:22:07,국장 카카오 좆박는데 개미들 무지성으로 매수하네,115
ㅇㅇ,2022-01-14 13:21:10,토스증권 버러지들 LOC 주문 추가하라고 !!!,41
ㅇㅇ,2022-01-14 13:34:48,얘 AV 배우인데,225
ㅇㅇ,2022-01-14 13:33:38,브레이너드 가족들 어제 풀대출 받아서 숏치다걸림,82
ㅇㅇ,2022-01-14 13:55:03,삼엽충인데 아이패드 5세대 이거 줜나좋네,65
ㅇㅇ,2022-01-14 13:54:18,티큐 70불에 샀는데 잘산거냐,99
ㅇㅇ,2022-01-14 14:24:19,속쓸 다 팔고 코인이나 할까,11
ㅇㅇ,2022-01-14 14:24:12,니들 씨웹을 노무 무시하고 멸시하고 괄시하노 ,22
ㅇㅇ,2022-01-14 14:24:09,나스닥 하락 아직 시작도 안함 ㅋㅋㅋㅋㅋㅋ,43
ㅇㅇ,2022-01-14 14:23:51,쏙쓸 티큐 지금가에서 한 5퍼정도 떨구면 ,39
숏케이크,2022-01-14 14:23:46,가치주도 내부자 매도 늘고있더라,85
Boeing.Co,2022-01-14 14:23:25,와 이번에 인텔이 TSMC 3나노/2나노 케파 싹 쓸어갔나보네,107
